"Rooms","Type","Price","Distance","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","Lattitude","Longtitude","Regionname","Propertycount"
4,"h",2525000,9.2,2,2,1235,196,1960,"Boroondara City Council",-37.7988,145.089,"Southern Metropolitan","7809"
4,"h",3360000,9.2,3,1,904,420,2003,"Boroondara City Council",-37.797,145.086,"Southern Metropolitan","7809"
3,"h",1327500,13,1,2,700,169.376919701995,1952.70845557006,"Glen Eira City Council",-37.9228,145.0476,"Southern Metropolitan","6795"
4,"h",1560000,13,3,1,695,180.905907267182,1947.51887244972,"Glen Eira City Council",-37.9149,145.0469,"Southern Metropolitan","6795"
3,"t",920000,13.9,2,1,343,149.748806901509,1965.61508322851,"Glen Eira City Council",-37.9112,145.0738,"Southern Metropolitan","10969"
3,"h",1050000,13.9,1,4,726,131,1950,"Glen Eira City Council",-37.9117,145.0695,"Southern Metropolitan","10969"
3,"h",1560000,13.9,1,2,841,180.905907267182,1947.51887244972,"Glen Eira City Council",-37.9217,145.056,"Southern Metropolitan","10969"
4,"h",800000,13.9,2,2,601,141.809959847846,1972.95063341848,"Glen Eira City Council",-37.9278,145.081,"Southern Metropolitan","10969"
2,"h",722000,13.9,2,1,201,79,2005,"Glen Eira City Council",-37.9293,145.0657,"Southern Metropolitan","10969"
3,"h",930000,13.9,1,2,588,133,1960,"Glen Eira City Council",-37.9286,145.069,"Southern Metropolitan","10969"
3,"h",921000,13.9,2,1,291,119,2000,"Glen Eira City Council",-37.919,145.0829,"Southern Metropolitan","10969"
4,"h",1035000,13.9,1,2,610,160,1950,"Glen Eira City Council",-37.9193,145.0691,"Southern Metropolitan","10969"
4,"h",1600000,13.1,2,1,692,195,1890,"Whitehorse City Council",-37.8247,145.1281,"Eastern Metropolitan","4605"
2,"u",800000,11.2,1,1,131,141.809959847846,1972.95063341848,"Bayside City Council",-37.9164,145.0002,"Southern Metropolitan","10579"
5,"h",2100000,11.2,5,2,552,219,1920,"Bayside City Council",-37.9012,144.997,"Southern Metropolitan","10579"
3,"h",1620000,10.7,2,4,678,184.682934877218,1946.51613021606,"Bayside City Council",-37.9208,145.0126,"Southern Metropolitan","6938"
3,"t",940000,10.7,2,3,0,150.957382537595,2004,"Bayside City Council",-37.9089,145.0246,"Southern Metropolitan","6938"
3,"h",825000,5.2,1,1,210,130,1900,"Moreland City Council",-37.7597,144.9545,"Northern Metropolitan","11918"
2,"h",860000,5.2,1,2,352,145.945076546274,1900,"Moreland City Council",-37.7566,144.9599,"Northern Metropolitan","11918"
2,"h",830000,5.2,1,1,319,143.938235780576,1970.97326617133,"Moreland City Council",-37.7572,144.9686,"Northern Metropolitan","11918"
2,"h",936000,5.2,1,2,200,150.718608954141,1964.76589943788,"Moreland City Council",-37.7581,144.9678,"Northern Metropolitan","11918"
3,"h",1261000,5.2,1,1,216,100,1910,"Moreland City Council",-37.7746,144.9697,"Northern Metropolitan","11918"
3,"h",1045000,5.2,1,2,222,105,1890,"Moreland City Council",-37.7642,144.969,"Northern Metropolitan","11918"
2,"h",711000,5.9,1,1,177,87,1910,"Moreland City Council",-37.7619,144.9412,"Northern Metropolitan","7082"
2,"h",910000,5.9,1,4,576,149.131483527929,1966.15863830855,"Moreland City Council",-37.7578,144.9439,"Northern Metropolitan","7082"
4,"h",1000000,11.8,2,3,672,212,1970,"Manningham City Council",-37.7689,145.0895,"Eastern Metropolitan","4480"
2,"h",1350000,11.7,1,2,593,82,1950,"Monash City Council",-37.8444,145.1054,"Southern Metropolitan","5678"
3,"h",2250000,7.8,2,2,656,225,2009,"Boroondara City Council",-37.841,145.0824,"Southern Metropolitan","8920"
2,"h",895000,7.8,1,1,424,95,1930,"Boroondara City Council",-37.8465,145.0743,"Southern Metropolitan","8920"
3,"h",1800000,7.8,2,0,584,213,1920,"Boroondara City Council",-37.8349,145.0758,"Southern Metropolitan","8920"
4,"h",1400000,7.8,0,0,693,172.454821825666,1935,"Boroondara City Council",-37.836,145.0914,"Southern Metropolitan","8920"
4,"h",2520000,3.2,2,2,504,168,1890,"Melbourne City Council",-37.7805,144.9721,"Northern Metropolitan","3106"
3,"h",1214000,3.2,3,1,144,164.861062853597,1956.0535024376,"Melbourne City Council",-37.7885,144.9757,"Northern Metropolitan","3106"
2,"h",817500,11.4,1,1,211,102,2002,"Glen Eira City Council",-37.8856,145.0599,"Southern Metropolitan","7822"
4,"h",1450000,11.4,2,2,557,200,1938,"Glen Eira City Council",-37.8955,145.0515,"Southern Metropolitan","7822"
3,"h",1000000,11.4,2,1,390,154.399186462429,1961.72265535057,"Glen Eira City Council",-37.8905,145.0518,"Southern Metropolitan","7822"
2,"t",855000,11.4,1,1,158,106,1994,"Glen Eira City Council",-37.8886,145.052,"Southern Metropolitan","7822"
2,"h",675000,11.4,1,1,0,90,1968,"Glen Eira City Council",-37.8973,145.0625,"Southern Metropolitan","7822"
4,"h",1960000,9.3,3,4,708,211.629663718305,1945.41958454865,"Glen Eira City Council",-37.8923,145.0177,"Southern Metropolitan","5051"
2,"h",825000,9.3,1,1,367,85,1930,"Glen Eira City Council",-37.8995,145.0241,"Southern Metropolitan","5051"
2,"h",1262000,9.3,2,2,464,272,2016,"Glen Eira City Council",-37.8901,145.0224,"Southern Metropolitan","5051"
4,"h",865000,7.8,1,1,452,125,1925,"Darebin City Council",-37.7525,144.948,"Northern Metropolitan","11204"
2,"u",485000,7.8,2,1,0,96,1880,"Darebin City Council",-37.7367,144.9701,"Northern Metropolitan","11204"
3,"h",1075000,1.6,1,0,183,104,1880,"Yarra City Council",-37.7948,144.9875,"Northern Metropolitan","4553"
3,"u",1470000,1.6,2,2,0,175.862491392141,1949.36477161828,"Yarra City Council",-37.8037,144.9846,"Northern Metropolitan","4553"
3,"h",1485000,13.9,2,2,731,140,1960,"Manningham City Council",-37.7892,145.131,"Eastern Metropolitan","9028"
3,"h",1190000,13.9,1,1,658,140,1960,"Manningham City Council",-37.7816,145.1066,"Eastern Metropolitan","9028"
3,"t",1071000,8.5,2,2,179,125,2000,"Glen Eira City Council",-37.8961,145.0125,"Southern Metropolitan","4898"
3,"h",1800000,8.5,2,2,492,181,1905,"Glen Eira City Council",-37.8789,145.0048,"Southern Metropolitan","4898"
3,"h",2345000,8.5,2,1,419,204,1908,"Glen Eira City Council",-37.8817,145.0126,"Southern Metropolitan","4898"
2,"u",741000,8.5,1,1,0,1561,1966,"Glen Eira City Council",-37.8829,145.0033,"Southern Metropolitan","4898"
3,"h",1700000,7.7,2,2,316,190.301531183721,1910,"Port Phillip City Council",-37.875,144.9813,"Southern Metropolitan","8989"
2,"u",686000,7.7,1,1,1622,131.47186366219,1970,"Port Phillip City Council",-37.8716,144.9869,"Southern Metropolitan","8989"
2,"u",560000,7.7,1,0,0,70,1930,"Port Phillip City Council",-37.8751,144.987,"Southern Metropolitan","8989"
2,"u",765000,7.7,1,0,0,88,1940,"Port Phillip City Council",-37.8809,144.9833,"Southern Metropolitan","8989"
2,"u",800000,8,1,2,502,141.809959847846,1972.95063341848,"Moonee Valley City Council",-37.7498,144.9048,"Western Metropolitan","9264"
5,"h",1575000,8,3,2,700,454,1988,"Moonee Valley City Council",-37.7461,144.9173,"Western Metropolitan","9264"
1,"u",280000,8,1,1,0,49,1960,"Moonee Valley City Council",-37.7475,144.9194,"Western Metropolitan","9264"
4,"h",1467000,8,2,1,683,145,1920,"Moonee Valley City Council",-37.7439,144.9195,"Western Metropolitan","9264"
3,"h",770000,8,1,0,438,139.500531742361,1974.96020986464,"Moonee Valley City Council",-37.754,144.926,"Western Metropolitan","9264"
2,"u",446000,8,1,1,0,93.4609393978657,1984.81764510902,"Moonee Valley City Council",-37.7534,144.9242,"Western Metropolitan","9264"
2,"h",890000,8,1,1,649,108,1950,"Moonee Valley City Council",-37.7445,144.9133,"Western Metropolitan","9264"
3,"h",2200000,1.6,2,1,187,232.221560603235,1943.08528789357,"Yarra City Council",-37.8003,144.9806,"Northern Metropolitan","5825"
3,"h",1275000,3.5,2,1,104,110,1890,"Moreland City Council",-37.7813,144.9834,"Northern Metropolitan","6244"
3,"h",1141000,3.5,1,1,378,161.657920124153,1957.71573139229,"Moreland City Council",-37.7739,144.9819,"Northern Metropolitan","6244"
1,"h",250000,4.4,1,1,0,54.5308084345556,1974.19234583409,"Melbourne City Council",-37.7854,144.9326,"Northern Metropolitan","3593"
1,"u",375000,6.4,1,1,0,50,1920,"Maribyrnong City Council",-37.8006,144.881,"Western Metropolitan","7570"
2,"u",615000,6.4,1,3,207,122.514370287259,1960,"Maribyrnong City Council",-37.7975,144.8855,"Western Metropolitan","7570"
3,"h",525000,13,1,1,665,85,1950,"Moreland City Council",-37.6966,144.9331,"Northern Metropolitan","8870"
3,"h",700000,13.6,2,2,691,132.994464272499,1979.56601589103,"Moreland City Council",-37.7089,144.8927,"Western Metropolitan","1071"
3,"h",485000,13.6,2,1,175,134,2004,"Moreland City Council",-37.7076,144.8961,"Western Metropolitan","1071"
3,"t",510000,12.1,2,2,234,115,2012,"Moreland City Council",-37.707,144.9411,"Northern Metropolitan","2606"
5,"h",3950000,4.6,2,3,1236,340,1890,"Boroondara City Council",-37.8257,145.0321,"Southern Metropolitan","11308"
2,"h",650000,10.5,1,3,620,85,1950,"Banyule City Council",-37.7377,145.0541,"Eastern Metropolitan","2947"
5,"h",890000,10.5,2,2,596,172,1972,"Banyule City Council",-37.7487,145.0522,"Eastern Metropolitan","2947"
3,"h",650000,10.5,1,2,582,90,1955,"Banyule City Council",-37.7422,145.05,"Eastern Metropolitan","2947"
2,"h",620000,9.4,1,2,668,88,1950,"Banyule City Council",-37.7389,145.0393,"Eastern Metropolitan","2674"
2,"h",497500,9.4,1,2,708,103.203842193896,1985.72377267403,"Banyule City Council",-37.7443,145.0454,"Eastern Metropolitan","2674"
2,"u",360000,9.4,1,1,89,85,1970,"Banyule City Council",-37.7444,145.047,"Eastern Metropolitan","2674"
2,"u",455000,13,1,2,0,60,1960,"Monash City Council",-37.8942,145.0867,"Southern Metropolitan","3145"
1,"u",420000,7.9,1,1,55,88.3842357772227,1970,"Banyule City Council",-37.7772,145.0414,"Eastern Metropolitan","5549"
3,"t",750000,7.9,1,1,110,137.820277821235,1990,"Banyule City Council",-37.765,145.0407,"Eastern Metropolitan","5549"
2,"u",460000,7.9,0,0,0,96.1575438683216,1985.17799072519,"Banyule City Council",-37.7662,145.0516,"Eastern Metropolitan","5549"
3,"h",630000,12.8,2,1,221,124.583369284227,1983.22773881385,"Brimbank City Council",-37.7504,144.8594,"Western Metropolitan","5629"
4,"h",835000,12.8,2,3,708,184,1990,"Brimbank City Council",-37.7452,144.8652,"Western Metropolitan","5629"
3,"t",705000,12.8,2,1,440,156,1995,"Brimbank City Council",-37.7517,144.8776,"Western Metropolitan","5629"
2,"t",812000,4.2,1,0,132,79,1887,"Melbourne City Council",-37.7989,144.9275,"Northern Metropolitan","5263"
5,"h",1900000,4.2,2,2,566,270,1890,"Melbourne City Council",-37.7893,144.933,"Northern Metropolitan","5263"
3,"h",972500,5.6,2,2,0,152.850589311832,1970,"Boroondara City Council",-37.7925,145.0389,"Southern Metropolitan","10331"
4,"h",2081000,7.5,4,3,948,311,1960,"Boroondara City Council",-37.7881,145.0631,"Southern Metropolitan","2671"
2,"u",349000,9.2,1,1,0,69,2011,"Maribyrnong City Council",-37.7795,144.8729,"Western Metropolitan","3873"
3,"h",1437000,7.4,1,1,313,132,1910,"Stonnington City Council",-37.8511,145.0317,"Southern Metropolitan","4675"
3,"h",1915000,11.2,2,2,700,126,1920,"Stonnington City Council",-37.8807,145.0547,"Southern Metropolitan","8801"
4,"h",1690000,11.2,2,2,334,189.56393223806,1920,"Stonnington City Council",-37.8743,145.0588,"Southern Metropolitan","8801"
3,"t",865000,8.7,2,2,151,3,2010,"Maribyrnong City Council",-37.7855,144.8958,"Western Metropolitan","4918"
2,"u",488000,8.7,2,2,0,101.447436463952,1985.64186367542,"Maribyrnong City Council",-37.7752,144.8925,"Western Metropolitan","4918"
4,"h",940000,8.7,2,1,325,150.957382537595,2004,"Maribyrnong City Council",-37.7822,144.892,"Western Metropolitan","4918"
2,"t",570000,8.7,1,2,98,128,2009,"Maribyrnong City Council",-37.7677,144.8925,"Western Metropolitan","4918"
2,"u",700000,4.1,1,1,0,67,1970,"Port Phillip City Council",-37.8556,144.9669,"Southern Metropolitan","2019"
3,"h",1370000,6.9,1,2,427,171.127930737807,1951.59183113686,"Moonee Valley City Council",-37.7702,144.9266,"Western Metropolitan","6232"
3,"h",1400000,6.9,2,2,394,160,1890,"Moonee Valley City Council",-37.7699,144.9149,"Western Metropolitan","6232"
4,"h",1310000,6.9,3,2,475,168.690076141308,1953.2142954578,"Moonee Valley City Council",-37.7609,144.9285,"Western Metropolitan","6232"
4,"h",1833000,6.9,1,1,583,200.868044900237,1945.06101446317,"Moonee Valley City Council",-37.7682,144.9151,"Western Metropolitan","6232"
3,"t",785000,14.6,2,2,169,140.682610307716,1973.95107426431,"Kingston City Council",-37.9385,145.0397,"Southern Metropolitan","2555"
3,"h",716000,8.4,1,2,268,134.641028244998,1978.56932053046,"Hobsons Bay City Council",-37.8472,144.8754,"Western Metropolitan","5498"
2,"h",740000,8.4,2,1,213,127,2006,"Hobsons Bay City Council",-37.8441,144.8805,"Western Metropolitan","5498"
4,"h",970000,8.4,1,1,619,151,1915,"Hobsons Bay City Council",-37.839,144.8854,"Western Metropolitan","5498"
3,"t",735000,8.4,2,2,0,162,2007,"Hobsons Bay City Council",-37.8436,144.8691,"Western Metropolitan","5498"
3,"h",1076000,11.2,1,1,654,158.469941357427,1959.20317472841,"Moonee Valley City Council",-37.7412,144.8888,"Western Metropolitan","2291"
4,"h",850000,11.2,3,2,641,145.28650692663,1969.68952178972,"Moonee Valley City Council",-37.7317,144.8751,"Western Metropolitan","2291"
2,"u",440000,2.3,1,1,0,92.2966840894083,1960,"Melbourne City Council",-37.8004,144.9465,"Northern Metropolitan","6821"
2,"u",606000,2.3,1,2,0,84,2000,"Melbourne City Council",-37.8022,144.9439,"Northern Metropolitan","6821"
3,"h",1900000,5.5,1,1,522,174,1910,"Darebin City Council",-37.7752,145.0032,"Northern Metropolitan","11364"
2,"h",888000,5.5,1,1,190,102,1985,"Darebin City Council",-37.7667,144.9909,"Northern Metropolitan","11364"
2,"h",1020000,5.5,1,1,354,97,1920,"Darebin City Council",-37.7638,144.9933,"Northern Metropolitan","11364"
3,"h",1160000,5.5,3,2,425,162.532456302157,1957.31292734407,"Darebin City Council",-37.7684,145.0099,"Northern Metropolitan","11364"
2,"h",844000,5.5,1,1,174,106,1995,"Darebin City Council",-37.7642,144.9963,"Northern Metropolitan","11364"
3,"h",1860000,5.5,3,1,448,203.12723202813,1945.08066143287,"Darebin City Council",-37.7792,144.9951,"Northern Metropolitan","11364"
10,"h",2800000,2.6,2.44069840893535,2.21958062897462,717.93987934498,271.424003863569,1945.8796423898,"Melbourne City Council",-37.7889,144.9421,"Northern Metropolitan","2309"
4,"h",970000,9.9,2,1,535,154,1920,"Moreland City Council",-37.7282,144.9462,"Northern Metropolitan","7485"
3,"u",515000,9.9,1,2,0,106.378620994787,1985.77833202959,"Moreland City Council",-37.7305,144.9397,"Northern Metropolitan","7485"
3,"t",1565000,3.8,1,2,188,181.20697262864,1947.42359668586,"Melbourne City Council",-37.8371,144.9478,"Southern Metropolitan","8648"
3,"h",1670000,3.8,2,1,140,169,1880,"Melbourne City Council",-37.8353,144.9442,"Southern Metropolitan","8648"
2,"u",530000,4.5,1,1,0,76,1888,"Stonnington City Council",-37.851,144.988,"Southern Metropolitan","7717"
3,"h",1651000,4.5,1,2,294,186.782138941825,1946.14300021349,"Stonnington City Council",-37.8558,145.0072,"Southern Metropolitan","7717"
2,"u",615000,4.5,1,1,0,122.514370287259,1983.83420106466,"Stonnington City Council",-37.8529,145.0098,"Southern Metropolitan","7717"
2,"h",700000,8.8,1,1,214,85,1910,"Darebin City Council",-37.7462,145.0044,"Northern Metropolitan","14577"
3,"h",930000,8.8,1,0,453,150.357685836119,1965.08141383885,"Darebin City Council",-37.7386,144.9828,"Northern Metropolitan","14577"
2,"h",920000,8.8,2,2,516,97,1935,"Darebin City Council",-37.7497,145.011,"Northern Metropolitan","14577"
4,"h",670000,11.2,2,2,578,129.635968056478,1981.29333498527,"Darebin City Council",-37.7064,145.0321,"Northern Metropolitan","21650"
2,"u",376000,11.2,1,1,104,77,1970,"Darebin City Council",-37.7104,145.0076,"Northern Metropolitan","21650"
2,"u",323000,11.2,1,1,0,65,1960,"Darebin City Council",-37.7093,145.0084,"Northern Metropolitan","21650"
3,"h",680000,11.2,1,4,527,146,1965,"Darebin City Council",-37.6983,144.9941,"Northern Metropolitan","21650"
2,"t",530000,11.2,1,1,0,106,2007,"Darebin City Council",-37.7141,145.0047,"Northern Metropolitan","21650"
4,"h",786000,11.2,3,1,595,174,2013,"Darebin City Council",-37.7283,145.0072,"Northern Metropolitan","21650"
2,"u",390000,11.2,1,1,122,74,1980,"Darebin City Council",-37.7261,144.9961,"Northern Metropolitan","21650"
3,"h",650000,11.2,1,2,468,92,1960,"Darebin City Council",-37.7184,144.9962,"Northern Metropolitan","21650"
3,"h",540000,11.2,1,2,496,110.758283328034,1985.6491834515,"Darebin City Council",-37.7156,144.9825,"Northern Metropolitan","21650"
3,"h",1088000,2.6,3,2,168,120,1915,"Yarra City Council",-37.8126,145.0064,"Northern Metropolitan","14949"
3,"t",911000,2.6,2,1,0,110,2000,"Yarra City Council",-37.8238,145.0072,"Northern Metropolitan","14949"
4,"h",3001000,2.6,3,1,544,241,1920,"Yarra City Council",-37.8152,144.9922,"Northern Metropolitan","14949"
2,"u",638000,2.6,2,1,0,77,2008,"Yarra City Council",-37.822,145.0104,"Northern Metropolitan","14949"
6,"h",1245000,11.4,3,4,911,166.133571706789,1955.20120912094,"Banyule City Council",-37.7312,145.0635,"Eastern Metropolitan","3540"
2,"h",430000,11.4,1,1,164,83,1980,"Banyule City Council",-37.7362,145.079,"Eastern Metropolitan","3540"
3,"h",920000,6.6,2,2,0,132,2000,"Maribyrnong City Council",-37.8057,144.8857,"Western Metropolitan","2417"
3,"h",1395000,6.6,1,2,467,155,1946,"Maribyrnong City Council",-37.8093,144.8941,"Western Metropolitan","2417"
3,"h",965000,6.6,1,0,217,104,1910,"Maribyrnong City Council",-37.8037,144.8874,"Western Metropolitan","2417"
2,"u",1500000,2.1,2,2,0,177.466395198926,2004,"Port Phillip City Council",-37.8369,144.968,"Southern Metropolitan","5943"
2,"h",2000000,2.1,2,1,141,150,1900,"Port Phillip City Council",-37.8389,144.9612,"Southern Metropolitan","5943"
2,"u",692000,2.1,1.44342569776514,1.71888988215585,492.032471103772,132.13387250072,1980.0462576231,"Port Phillip City Council",-37.8346,144.9673,"Southern Metropolitan","5943"
2,"u",515000,3.3,1,1,734,65,2013,"Melbourne City Council",-37.8433,144.9962,"Southern Metropolitan","14887"
1,"u",425000,1.2,1,1,0,57,2004,"Melbourne City Council",-37.8245,144.9622,"Southern Metropolitan","8400"
3,"h",831000,7.7,1,0,353,109,1890,"Hobsons Bay City Council",-37.8309,144.889,"Western Metropolitan","1223"
2,"u",503500,6.1,1,1,683,72,1940,"Port Phillip City Council",-37.8594,144.9828,"Southern Metropolitan","13240"
1,"u",511000,6.1,1.31478994161267,1.43010466569258,444.134203430991,105.66033712295,1985.77671276026,"Port Phillip City Council",-37.8592,144.981,"Southern Metropolitan","13240"
2,"u",580000,6.1,1,0,0,95,1930,"Port Phillip City Council",-37.8617,144.9796,"Southern Metropolitan","13240"
4,"h",1430000,9.7,2,1,607,224,1990,"Moonee Valley City Council",-37.7376,144.9154,"Western Metropolitan","3284"
5,"h",915000,9.7,3,4,754,149.441123905162,1965.88556852262,"Moonee Valley City Council",-37.7298,144.9162,"Western Metropolitan","3284"
3,"h",610000,12.6,1,0,705,118,1965,"Brimbank City Council",-37.8005,144.822,"Western Metropolitan","3755"
3,"h",600000,12.6,1,1,0,126,1950,"Brimbank City Council",-37.7796,144.8455,"Western Metropolitan","3755"
4,"h",735000,13.3,2,5,635,201,1975,"Brimbank City Council",-37.7693,144.8351,"Western Metropolitan","4217"
3,"h",635800,13.3,1,1,602,125.357717607659,1982.97501617832,"Brimbank City Council",-37.7696,144.84,"Western Metropolitan","4217"
3,"h",480000,13.5,1,2,696,148,1960,"Brimbank City Council",-37.7836,144.7988,"Western Metropolitan","6763"
3,"h",544500,13.5,2,2,696,111.525103027771,1985.60099226756,"Brimbank City Council",-37.7841,144.8052,"Western Metropolitan","6763"
5,"h",1350000,11.2,2,2,677,170.286542667461,1948,"Boroondara City Council",-37.8316,145.1049,"Southern Metropolitan","5457"
2,"u",550000,11.2,1,1,174,112.45277575135,1985.53184447753,"Boroondara City Council",-37.8291,145.1015,"Southern Metropolitan","5457"
4,"h",1850000,11.2,2,2,612,292,1970,"Boroondara City Council",-37.8345,145.1009,"Southern Metropolitan","5457"
4,"h",2050000,11.2,2,2,949,293,1910,"Boroondara City Council",-37.8188,145.0984,"Southern Metropolitan","5457"
3,"h",1010000,13.8,2,2,751,175,1968,"Manningham City Council",-37.77,145.1025,"Eastern Metropolitan","5420"
3,"h",898000,6.5,2,2,210,108,2010,"Darebin City Council",-37.7551,144.9993,"Northern Metropolitan","8870"
3,"h",1235000,6.5,3,1,288,133,1920,"Darebin City Council",-37.7583,145.0025,"Northern Metropolitan","8870"
3,"t",910500,6.5,2,2,157,144,2010,"Darebin City Council",-37.759,144.988,"Northern Metropolitan","8870"
3,"h",995000,6.5,1,1,327,96,1920,"Darebin City Council",-37.7574,144.9854,"Northern Metropolitan","8870"
2,"h",760000,6.5,1,0,0,75,1900,"Darebin City Council",-37.7595,145.0061,"Northern Metropolitan","8870"
2,"u",505000,6.5,1,0,0,80,1980,"Darebin City Council",-37.7591,145.0211,"Northern Metropolitan","8870"
3,"h",1300000,4.6,1,1,266,168.302363161832,1953.5140884268,"Stonnington City Council",-37.8493,145.0134,"Southern Metropolitan","7217"
